img_id,class_name,binary_label,mode,whole_score,patch_evidence,fused_score,patch_available,num_patches,forward_passes,reused_scores,coverage,patch_seconds,whole_seconds,total_seconds,peak_memory_mb,decision_whole,decision_fused,decision_changed
91995094dd129257,real,0,off,0.01081,,0.01081,False,0,0,0,,0.0,0.8313,0.8313,,0,0,0
91995094dd129257,real,0,coarse,0.01081,0.165058,0.049372,True,4,4,0,0.343979,1.8824,0.8313,2.7137,2105.044736,0,0,0
91995094dd129257,real,0,full,0.01081,0.236921,0.067338,True,12,12,0,0.779827,5.5304,0.8313,6.3616,2105.044736,0,0,0
91995094dd129257,real,0,top_k,0.01081,0.433992,0.116606,True,12,12,0,0.343979,5.7006,0.8313,6.5319,2105.044736,0,0,0
91995094dd129257,real,0,uncertain_only,0.01081,,0.01081,False,0,0,0,,0.0,0.8313,0.8313,,0,0,0
tampered_06400,tampered,1,off,0.009222,,0.009222,False,0,0,0,,0.0,0.532,0.532,,0,0,0
tampered_06400,tampered,1,coarse,0.009222,0.03945,0.016779,True,4,4,0,0.25,1.8631,0.532,2.3951,2105.044736,0,0,0
tampered_06400,tampered,1,full,0.009222,0.070355,0.024505,True,12,12,0,0.664062,5.5451,0.532,6.0771,2105.044736,0,0,0
tampered_06400,tampered,1,top_k,0.009222,0.118927,0.036648,True,12,12,0,0.25,5.7089,0.532,6.2408,2105.044736,0,0,0
tampered_06400,tampered,1,uncertain_only,0.009222,,0.009222,False,0,0,0,,0.0,0.532,0.532,,0,0,0
full_synthetic_004934,full_synthetic,1,off,0.999625,,0.999625,False,0,0,0,,0.0,0.5269,0.5269,,1,1,0
full_synthetic_004934,full_synthetic,1,coarse,0.999625,0.997249,0.999031,True,4,4,0,0.25,1.913,0.5269,2.4399,2105.044736,1,1,0
full_synthetic_004934,full_synthetic,1,full,0.999625,0.999421,0.999574,True,12,12,0,0.664062,5.7224,0.5269,6.2493,2105.044736,1,1,0
full_synthetic_004934,full_synthetic,1,top_k,0.999625,0.997249,0.999031,True,12,12,0,0.25,6.0945,0.5269,6.6214,2105.044736,1,1,0
full_synthetic_004934,full_synthetic,1,uncertain_only,0.999625,,0.999625,False,0,0,0,,0.0,0.5269,0.5269,,1,1,0
58c66c4583de8bf5,real,0,off,0.018626,,0.018626,False,0,0,0,,0.0,0.6008,0.6008,,0,0,0
58c66c4583de8bf5,real,0,coarse,0.018626,0.029396,0.021319,True,4,4,0,0.25,2.0002,0.6008,2.601,2105.044736,0,0,0
58c66c4583de8bf5,real,0,full,0.018626,0.067237,0.030779,True,12,12,0,0.664062,5.8636,0.6008,6.4644,2105.044736,0,0,0
58c66c4583de8bf5,real,0,top_k,0.018626,0.094051,0.037483,True,12,12,0,0.25,6.0866,0.6008,6.6874,2105.044736,0,0,0
58c66c4583de8bf5,real,0,uncertain_only,0.018626,,0.018626,False,0,0,0,,0.0,0.6008,0.6008,,0,0,0
tampered_08645,tampered,1,off,0.155969,,0.155969,False,0,0,0,,0.0,0.5469,0.5469,,0,0,0
