condition,accuracy,balanced_accuracy,precision,recall,f1,auc,fpr,fnr,accuracy_drop,robustness_ratio,threshold
clean,0.805556,0.84375,0.972222,0.729167,0.833333,0.856771,0.041667,0.270833,0.0,1.0,0.42
jpeg_q90,0.819444,0.854167,0.972973,0.75,0.847059,0.87066,0.041667,0.25,-0.013888,1.01724,0.42
jpeg_q70,0.777778,0.822917,0.970588,0.6875,0.804878,0.835938,0.041667,0.3125,0.027778,0.965517,0.42
jpeg_q50,0.763889,0.802083,0.942857,0.6875,0.795181,0.836806,0.083333,0.3125,0.041667,0.948275,0.42
jpeg_q30,0.777778,0.833333,1.0,0.666667,0.8,0.833333,0.0,0.333333,0.027778,0.965517,0.42
blur_s0.5,0.805556,0.84375,0.972222,0.729167,0.833333,0.855903,0.041667,0.270833,0.0,1.0,0.42
blur_s1,0.819444,0.854167,0.972973,0.75,0.847059,0.855903,0.041667,0.25,-0.013888,1.01724,0.42
blur_s2,0.791667,0.833333,0.971429,0.708333,0.819277,0.861111,0.041667,0.291667,0.013889,0.982758,0.42
resize_0.5x,0.819444,0.854167,0.972973,0.75,0.847059,0.857639,0.041667,0.25,-0.013888,1.01724,0.42
resize_0.25x,0.791667,0.833333,0.971429,0.708333,0.819277,0.868056,0.041667,0.291667,0.013889,0.982758,0.42
noise_s0.02,0.805556,0.84375,0.972222,0.729167,0.833333,0.856771,0.041667,0.270833,0.0,1.0,0.42
noise_s0.05,0.791667,0.822917,0.945946,0.729167,0.823529,0.860243,0.083333,0.270833,0.013889,0.982758,0.42
noise_s0.1,0.791667,0.802083,0.902439,0.770833,0.831461,0.867188,0.166667,0.229167,0.013889,0.982758,0.42
color_jitter,0.791667,0.833333,0.971429,0.708333,0.819277,0.871528,0.041667,0.291667,0.013889,0.982758,0.42
center_crop_80,0.847222,0.875,0.974359,0.791667,0.873563,0.883681,0.041667,0.208333,-0.041666,1.051723,0.42
