condition,accuracy,balanced_accuracy,precision,recall,f1,auc,fpr,fnr,accuracy_drop,robustness_ratio,threshold
clean,0.819444,0.854167,0.972973,0.75,0.847059,0.856771,0.041667,0.25,0.0,1.0,0.69
jpeg_q90,0.819444,0.854167,0.972973,0.75,0.847059,0.87066,0.041667,0.25,0.0,1.0,0.69
jpeg_q70,0.791667,0.833333,0.971429,0.708333,0.819277,0.835938,0.041667,0.291667,0.027777,0.966103,0.69
jpeg_q50,0.777778,0.8125,0.944444,0.708333,0.809524,0.836806,0.083333,0.291667,0.041666,0.949153,0.69
jpeg_q30,0.777778,0.822917,0.970588,0.6875,0.804878,0.833333,0.041667,0.3125,0.041666,0.949153,0.69
blur_s0.5,0.819444,0.854167,0.972973,0.75,0.847059,0.855903,0.041667,0.25,0.0,1.0,0.69
blur_s1,0.819444,0.854167,0.972973,0.75,0.847059,0.855903,0.041667,0.25,0.0,1.0,0.69
blur_s2,0.819444,0.854167,0.972973,0.75,0.847059,0.861111,0.041667,0.25,0.0,1.0,0.69
resize_0.5x,0.819444,0.854167,0.972973,0.75,0.847059,0.857639,0.041667,0.25,0.0,1.0,0.69
resize_0.25x,0.805556,0.84375,0.972222,0.729167,0.833333,0.868056,0.041667,0.270833,0.013888,0.983052,0.69
noise_s0.02,0.833333,0.864583,0.973684,0.770833,0.860465,0.856771,0.041667,0.229167,-0.013889,1.016949,0.69
noise_s0.05,0.805556,0.8125,0.904762,0.791667,0.844444,0.860243,0.166667,0.208333,0.013888,0.983052,0.69
noise_s0.1,0.791667,0.791667,0.883721,0.791667,0.835165,0.867188,0.208333,0.208333,0.027777,0.966103,0.69
color_jitter,0.805556,0.84375,0.972222,0.729167,0.833333,0.871528,0.041667,0.270833,0.013888,0.983052,0.69
center_crop_80,0.833333,0.854167,0.95,0.791667,0.863636,0.883681,0.083333,0.208333,-0.013889,1.016949,0.69
